Sr. No.,Emp. Code,Emp. Tags,Employee Name,Employee Number,To Name,Country Code,To Number,Call Type,Duration,Call Date,Call Time,Notes,Unique customer Id,Incoming Calls,Incoming Duration,Outgoing Calls,Outgoing Duration,Missed,Rejected,Connected Calls,Never Attended,Call Status,Purpose of Call,Region,Customer Feedback,Department,Follow-Up Required
32.0,FB015,New York,Rachel,,Christopher Solomon,+1 849,+1-889-904-2291x576,Incoming,4 mins 1 secs,2023-03-16,12:13 PM,Their range worker teach word.,,0.0,0 mins 0 secs,2.0,8 mins 60 secs,0.0,2.0,,0.0,,,Europe,Satisfied,Sales,No
33.0,FB008,New York,,,Nicole Liu,+882 16,5452827500,Incoming,,2022-06-13,11:52 AM,Can decision account while.,CUST0033,4.0,24 mins 164 secs,2.0,14 mins 4 secs,0.0,0.0,0.0,6.0,Failed,Inquiry,North America,Satisfied,Support,
34.0,FB015,New York,,,,+236,(866)441-8548x182,,6 mins 26 secs,2022-08-27,,Process so material much.,,1.0,6 mins 29 secs,3.0,24 mins 15 secs,2.0,0.0,,2.0,Failed,Sales,Australia,Satisfied,Sales,Yes
35.0,,,,,Tracy Bell,+881 1,,Incoming,13 mins 35 secs,,06:14 PM,Child life program I plant.,,4.0,64 mins 48 secs,0.0,,1.0,0.0,,4.0,Failed,,Europe,Satisfied,,Yes
36.0,FB008,New York,,+918888800004,Marcus Taylor,+381,226.394.8632x58786,Incoming,9 mins 34 secs,2021-08-17,11:44 PM,Entire ball computer cut improve chance.,CUST0036,4.0,68 mins 148 secs,0.0,0 mins 0 secs,0.0,0.0,1.0,3.0,Busy,Feedback,North America,Neutral,Support,No
37.0,FB008,New York,Steve,+918888800004,Deborah Martin,,632.590.0661x280,Outgoing,5 mins 42 secs,2024-06-15,09:26 AM,Fire morning leave onto house seat upon gun.,,2.0,,0.0,0 mins 0 secs,2.0,0.0,2.0,0.0,Completed,Sales,Africa,,Support,
38.0,,Mumbai,,,Laura Martin,+263,456-426-6668x2082,,18 mins 44 secs,,02:10 AM,,CUST0038,1.0,6 mins 19 secs,3.0,30 mins 45 secs,,1.0,,3.0,Completed,Follow-up,,,Support,Yes
39.0,FB015,,,,Mary Brooks,+683,,Outgoing,17 mins 18 secs,2024-01-15,12:58 AM,Painting special defense always cultural light industry.,,5.0,40 mins 80 secs,3.0,9 mins 39 secs,0.0,2.0,0.0,,No Answer,Sales,,,Sales,No
40.0,FB015,New York,Rachel,+918888800005,Vanessa Gilbert,+686,,Incoming,18 mins 55 secs,2024-06-10,08:10 PM,Far study thank data yes but.,CUST0040,,,0.0,0 mins 0 secs,2.0,1.0,2.0,3.0,Completed,,Africa,Dissatisfied,Sales,Yes
41.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Jeffrey Zamora,+598,2447282439,Outgoing,18 mins 6 secs,2023-01-19,11:14 AM,Certainly tend woman gun create officer make.,CUST0041,2.0,32 mins 102 secs,,,1.0,2.0,4.0,,No Answer,Inquiry,North America,Satisfied,,No
42.0,FB003,,,+918888800003,Christopher Cox,,001-487-447-3912,,14 mins 42 secs,,,Program region authority.,CUST0042,0.0,0 mins 0 secs,1.0,14 mins 10 secs,0.0,,1.0,0.0,No Answer,Follow-up,North America,Neutral,,Yes
,FB003,Pune,,,Jose Smith,+1 473,001-272-350-5607,Incoming,12 mins 52 secs,2022-11-30,03:53 AM,Can middle professor thus.,CUST0043,3.0,,3.0,,,,4.0,2.0,,Inquiry,Australia,Neutral,Sales,Yes
,FB002,,Ankur Garde,+918888800002,Jonathan Howard,+691,,,17 mins 12 secs,,09:59 PM,At value Democrat cut heart who.,CUST0044,2.0,,0.0,0 mins 0 secs,0.0,0.0,,0.0,,Sales,Europe,Dissatisfied,Support,
45.0,FB002,,Ankur Garde,,,,,Incoming,11 mins 39 secs,2023-08-18,,Challenge service mean support family tough build senior.,CUST0045,1.0,,1.0,9 mins 9 secs,2.0,,2.0,0.0,Failed,Support,Asia,Satisfied,,Yes
46.0,FB003,,Shubhangi,+918888800003,Ryan Parker,+241,,Incoming,,2021-02-15,,Lawyer song share minute ball.,CUST0046,,36 mins 9 secs,1.0,5 mins 45 secs,0.0,1.0,2.0,2.0,Failed,Follow-up,Asia,,,No
,FB008,New York,Steve,+918888800004,Michele Wheeler,+681,+1-916-714-7184x74509,Outgoing,10 mins 35 secs,2022-10-15,09:18 AM,,CUST0047,5.0,90 mins 230 secs,4.0,32 mins 232 secs,1.0,2.0,3.0,6.0,Completed,Follow-up,Africa,Satisfied,Support,Yes
48.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,William Cain,+870,(206)951-6893x9073,,10 mins 17 secs,2022-01-26,02:29 AM,Morning range development toward.,,5.0,,4.0,,2.0,,,,,Follow-up,North America,,Sales,Yes
49.0,,Mumbai,Ankur Garde,,Sharon Brown,+260,+1-375-597-2587x35037,Outgoing,3 mins 23 secs,2023-12-03,04:57 PM,Still girl admit very himself.,CUST0049,3.0,,0.0,0 mins 0 secs,1.0,2.0,0.0,3.0,,Feedback,Africa,Dissatisfied,Support,No
50.0,FB003,Pune,Shubhangi,+918888800003,Christy Munoz,+599 3,(858)343-6245x2283,Incoming,11 mins 37 secs,2021-05-12,01:23 AM,,CUST0050,0.0,0 mins 0 secs,,15 mins 13 secs,1.0,0.0,0.0,1.0,Completed,Feedback,Asia,Neutral,Sales,
,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Brittany Stevens,+503,001-545-229-9233x8614,Outgoing,15 mins 26 secs,2023-01-17,,Seven or need upon finish generation green.,CUST0051,,80 mins 115 secs,,0 mins 0 secs,0.0,0.0,,5.0,No Answer,Inquiry,North America,Neutral,Sales,Yes
52.0,FB015,New York,Rachel,+918888800005,Mark Wu,+98,,Incoming,20 mins 42 secs,2020-08-25,,Discussion trade already reality over.,CUST0052,4.0,,5.0,60 mins 85 secs,0.0,2.0,3.0,6.0,No Answer,Support,Africa,Neutral,,Yes
,,Pune,Shubhangi,+918888800003,Natalie Owen,+246,,Outgoing,4 mins 40 secs,2024-07-30,01:09 PM,Stage field public eat statement.,CUST0053,3.0,36 mins 45 secs,5.0,,0.0,1.0,,6.0,,Feedback,Europe,,,
,,Pune,Shubhangi,+918888800003,Amy Harrington,+252,303.292.2273,Incoming,15 mins 15 secs,2024-08-21,01:21 AM,Third word brother.,CUST0054,,4 mins 84 secs,4.0,,,0.0,0.0,8.0,Completed,,North America,,Sales,
55.0,FB003,Pune,Shubhangi,,Julia Smith,+235,(389)520-4716,Incoming,5 mins 4 secs,2022-07-24,09:25 AM,Investment everybody expect life.,CUST0055,1.0,14 mins 2 secs,,,1.0,0.0,,,,,Africa,Neutral,Sales,Yes
,,Nagpur,,+918888800001,Steven Reese,+246,(221)272-5460x361,Incoming,6 mins 18 secs,2023-03-04,05:17 AM,Or executive suddenly.,CUST0056,3.0,36 mins 99 secs,3.0,48 mins 78 secs,,2.0,,3.0,No Answer,Sales,Africa,Neutral,Sales,No
,FB008,New York,Steve,+918888800004,,+856,(641)457-3326x9635,Incoming,10 mins 46 secs,2022-05-27,12:31 AM,Yourself peace world set.,CUST0057,4.0,,3.0,33 mins 3 secs,,2.0,2.0,5.0,Failed,Inquiry,North America,Dissatisfied,Support,
58.0,,New York,Rachel,+918888800005,Sandra Peters,+220,(692)238-0285x4654,Incoming,,2021-11-17,09:39 AM,Middle nearly money success.,,2.0,14 mins 56 secs,5.0,50 mins 5 secs,1.0,0.0,2.0,,Busy,Support,,Dissatisfied,Sales,
59.0,FB003,Pune,Shubhangi,,Paul Hudson,+594,(653)208-0153x42482,Outgoing,7 mins 12 secs,,01:38 PM,Pay agent their through meeting something.,CUST0059,5.0,20 mins 105 secs,4.0,48 mins 172 secs,,0.0,5.0,,No Answer,Support,Africa,Dissatisfied,Sales,No
,FB002,Mumbai,Ankur Garde,+918888800002,,+261,328-781-6422,Outgoing,1 mins 55 secs,2022-05-16,12:17 PM,War mouth type bad blood yeah indeed ready.,CUST0060,,60 mins 78 secs,4.0,,2.0,,0.0,7.0,No Answer,Inquiry,Asia,Neutral,Support,Yes
61.0,FB008,New York,Steve,+918888800004,Melissa Fields,+1 649,750.855.5618x362,Incoming,16 mins 28 secs,2023-10-31,12:24 PM,,CUST0061,0.0,0 mins 0 secs,3.0,60 mins 114 secs,,,2.0,,Failed,Follow-up,Asia,Dissatisfied,Support,No
62.0,,Nagpur,,+918888800001,Benjamin Jordan,+31,,Incoming,11 mins 41 secs,2022-02-16,02:36 AM,,CUST0062,2.0,32 mins 26 secs,2.0,4 mins 36 secs,1.0,0.0,2.0,,Failed,Inquiry,,Dissatisfied,,Yes
63.0,FB008,New York,Steve,+918888800004,,+590,735.878.8206x022,Incoming,,2023-03-25,,Citizen with against term.,CUST0063,4.0,36 mins 220 secs,1.0,12 mins 38 secs,0.0,2.0,0.0,5.0,Completed,Sales,Africa,Neutral,Support,No
,,,Shubhangi,+918888800003,Michael Trujillo,+62,001-272-952-1401,Incoming,1 mins 56 secs,2023-07-14,09:08 PM,Ok authority organization water capital.,CUST0064,,,4.0,56 mins 88 secs,0.0,2.0,,5.0,Busy,Follow-up,Asia,,Sales,
65.0,FB015,,,+918888800005,Gregory White,+262,469.857.2011x2592,,,2021-01-13,,,,3.0,42 mins 90 secs,4.0,,,2.0,6.0,1.0,Busy,Feedback,Europe,Neutral,Sales,
66.0,FB001,Nagpur,,+918888800001,,+599 9,,Outgoing,8 mins 51 secs,2021-01-27,12:02 PM,Available likely attorney everything.,CUST0066,,17 mins 44 secs,4.0,28 mins 236 secs,0.0,2.0,,2.0,No Answer,Follow-up,Australia,Dissatisfied,,Yes
67.0,FB008,,Steve,,,+243,,Outgoing,4 mins 35 secs,2022-08-31,07:54 AM,Write her country simply attack nice.,CUST0067,,70 mins 35 secs,,28 mins 24 secs,0.0,0.0,2.0,,Completed,Inquiry,Europe,Satisfied,,No
,FB003,Pune,Shubhangi,+918888800003,Noah Porter,+1 345,234-327-5443,Incoming,,,11:45 AM,,CUST0068,5.0,90 mins 0 secs,,52 mins 36 secs,,1.0,0.0,9.0,Completed,Follow-up,North America,,Sales,Yes
69.0,,,Aniruddha Kalbande,,Scott Hill,+44 7524,879-236-1809,Incoming,12 mins 13 secs,2023-10-02,05:15 AM,Relationship organization just third.,CUST0069,,40 mins 62 secs,5.0,90 mins 150 secs,,0.0,0.0,7.0,Busy,,Africa,Satisfied,Sales,No
70.0,FB015,New York,,,Michele Barry,+670,291.717.9218x02565,Outgoing,,2023-06-17,06:57 AM,Commercial team tonight box.,CUST0070,,18 mins 75 secs,0.0,0 mins 0 secs,,0.0,2.0,,Failed,Feedback,Australia,Satisfied,Sales,Yes
71.0,FB015,New York,Rachel,,,+1 784,689-395-1127,Outgoing,19 mins 57 secs,2021-04-27,11:17 AM,Sister form control heavy.,,,6 mins 17 secs,4.0,72 mins 4 secs,,2.0,,5.0,Completed,Follow-up,,Neutral,Sales,No
72.0,FB015,New York,Rachel,+918888800005,Kyle Webster,+237,241.735.7724x82759,Incoming,20 mins 59 secs,2024-05-29,08:52 PM,Line design fight guy mouth.,CUST0072,0.0,0 mins 0 secs,,48 mins 33 secs,2.0,,0.0,3.0,Failed,Follow-up,Australia,Dissatisfied,Sales,
73.0,FB015,,,,Bryan Howard,+979,292.490.7868,,19 mins 51 secs,2023-03-12,,Kind sometimes environment every.,CUST0073,0.0,0 mins 0 secs,5.0,60 mins 70 secs,2.0,2.0,0.0,5.0,Completed,,Africa,Satisfied,Sales,Yes
74.0,FB015,,Rachel,+918888800005,William Escobar,+1 808,,Incoming,7 mins 8 secs,2023-12-26,03:50 AM,Various rest success.,CUST0074,,42 mins 174 secs,1.0,5 mins 4 secs,0.0,2.0,2.0,2.0,Failed,,Africa,Neutral,Sales,No
75.0,FB015,New York,Rachel,+918888800005,Tracy Carter,+95,5787303335,,5 mins 41 secs,2024-05-19,04:09 AM,Work question enter condition than decide.,CUST0075,5.0,70 mins 260 secs,0.0,0 mins 0 secs,1.0,2.0,4.0,,,Support,Australia,,Sales,No
76.0,FB015,New York,,+918888800005,Blake Sandoval,+66,,Incoming,12 mins 7 secs,2021-10-02,06:11 PM,Past back paper list.,,1.0,14 mins 23 secs,,,1.0,,,,Completed,Feedback,Africa,Dissatisfied,Sales,
,FB008,New York,Steve,+918888800004,Briana Moses MD,+381,9264491811,Incoming,5 mins 26 secs,2023-10-26,03:07 AM,Who pretty matter reason season.,CUST0077,5.0,,3.0,,,,,6.0,Completed,Support,Australia,,,No
78.0,,,Rachel,+918888800005,Jeremy Beasley,+886,,Outgoing,7 mins 43 secs,2022-08-16,05:44 AM,By past one fight month hope.,CUST0078,,38 mins 106 secs,3.0,30 mins 159 secs,2.0,0.0,3.0,,No Answer,Sales,Australia,Satisfied,Sales,Yes
79.0,FB001,,Aniruddha Kalbande,+918888800001,,+1 787,(834)412-5144x8034,Outgoing,13 mins 1 secs,,08:50 AM,Step technology view recognize subject along ball.,CUST0079,,,3.0,30 mins 57 secs,,1.0,,,,Feedback,Australia,Satisfied,Sales,No
80.0,FB015,New York,Rachel,,,+967,(704)291-4444x54175,Outgoing,10 mins 27 secs,2023-06-03,05:47 PM,Decide single woman interest result indeed very.,CUST0080,2.0,26 mins 16 secs,4.0,44 mins 152 secs,1.0,2.0,6.0,0.0,Completed,Sales,Africa,Dissatisfied,Sales,No
,FB008,New York,Steve,+918888800004,,+44 1624,,Incoming,3 mins 18 secs,,,These decide leader.,CUST0081,4.0,52 mins 60 secs,1.0,17 mins 28 secs,0.0,1.0,1.0,4.0,Completed,Sales,Australia,Dissatisfied,,Yes
,FB015,New York,Rachel,,Emily Reilly,+44 7781,613-897-2388x2384,Incoming,15 mins 3 secs,2021-07-14,04:00 PM,Short or much entire indeed.,CUST0082,4.0,20 mins 28 secs,,60 mins 69 secs,2.0,1.0,3.0,4.0,Failed,Support,,Neutral,Sales,No
83.0,FB015,New York,Rachel,+918888800005,Jacqueline Lopez,+979,713-825-3609x3034,Outgoing,8 mins 43 secs,2023-01-01,01:56 PM,Product program consider have evidence spend raise.,,1.0,4 mins 55 secs,4.0,,2.0,2.0,4.0,1.0,Busy,Inquiry,Asia,,,Yes
84.0,FB015,New York,Rachel,,Jeremy Mitchell,+94,,Incoming,5 mins 57 secs,2024-04-10,01:41 AM,Rise dinner detail everybody.,CUST0084,2.0,38 mins 16 secs,,10 mins 64 secs,,0.0,0.0,,Busy,Follow-up,Africa,Neutral,Sales,
85.0,FB015,New York,Rachel,+918888800005,Michele Miller,+266,5944624195,Outgoing,18 mins 25 secs,,11:17 PM,Sit start group even eye health.,CUST0085,2.0,4 mins 30 secs,0.0,0 mins 0 secs,,1.0,1.0,1.0,Busy,Support,North America,Neutral,Sales,No
,FB015,New York,Rachel,+918888800005,,+670,001-276-548-4883x87626,Outgoing,15 mins 26 secs,2023-08-09,10:01 AM,Condition or heart when trade option.,CUST0086,4.0,28 mins 132 secs,1.0,10 mins 6 secs,1.0,2.0,0.0,5.0,Completed,Inquiry,,,Sales,Yes
87.0,FB015,New York,Rachel,+918888800005,,+672 1,(961)244-5502,Outgoing,,2021-05-14,02:37 AM,Fish leg country.,CUST0087,,36 mins 54 secs,,,0.0,1.0,,5.0,Completed,Sales,Australia,Satisfied,Sales,No
88.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Teresa Reynolds,,(975)749-5840,Outgoing,6 mins 14 secs,2024-01-03,06:43 PM,At above also writer it man rich.,CUST0088,0.0,0 mins 0 secs,5.0,,2.0,,3.0,2.0,Completed,,,Satisfied,Sales,Yes
89.0,FB003,,Shubhangi,+918888800003,Daniel Carter,+32,001-418-548-0184x7118,Incoming,,2022-07-24,07:53 PM,Natural difference recent move of physical.,CUST0089,,,1.0,7 mins 39 secs,,0.0,0.0,3.0,,Inquiry,Asia,Satisfied,Sales,
90.0,FB008,New York,Steve,,Christian Martin,+44 7624,450-429-0259x2540,Outgoing,18 mins 9 secs,2021-07-10,02:09 AM,Ability commercial general onto around various add fund.,CUST0090,3.0,9 mins 126 secs,0.0,,0.0,1.0,2.0,1.0,Failed,Support,,Neutral,Support,Yes
91.0,FB003,Pune,Shubhangi,+918888800003,Chelsey Barrett,+262 269,229.881.9066x7446,Incoming,,2023-12-24,12:33 AM,On degree true upon center plan.,CUST0091,0.0,,5.0,75 mins 20 secs,0.0,0.0,2.0,3.0,Busy,Support,Australia,Dissatisfied,Sales,Yes
92.0,FB008,New York,Steve,+918888800004,,+61,910.472.0040,,5 mins 3 secs,2020-10-19,,,CUST0092,,75 mins 160 secs,4.0,8 mins 124 secs,2.0,,7.0,2.0,Busy,Support,Australia,Neutral,Support,Yes
93.0,FB003,Pune,Shubhangi,+918888800003,Randy Wells,+995,526-871-7651,,18 mins 34 secs,2022-05-25,,In community behind share pull trade billion.,,0.0,,3.0,42 mins 84 secs,0.0,0.0,,,Failed,Sales,Africa,Neutral,Sales,Yes
,FB008,New York,,+918888800004,,+374 97,396.983.2545x963,Outgoing,13 mins 48 secs,2024-03-07,01:26 PM,Yet much despite trouble painting.,CUST0094,0.0,0 mins 0 secs,,,2.0,,0.0,0.0,,Follow-up,Africa,Satisfied,Support,Yes
95.0,FB015,New York,,+918888800005,Judy Dillon,+232,708.870.8670x606,Incoming,7 mins 57 secs,2020-09-30,05:09 PM,Do product affect.,CUST0095,2.0,34 mins 84 secs,4.0,56 mins 48 secs,2.0,0.0,,6.0,Completed,,,Dissatisfied,Sales,No
96.0,,New York,Rachel,+918888800005,Andre Gonzalez,+592,,Incoming,3 mins 42 secs,2021-09-26,12:07 PM,,CUST0096,1.0,12 mins 46 secs,2.0,26 mins 60 secs,1.0,,3.0,,Failed,Feedback,Australia,Satisfied,,Yes
97.0,,Mumbai,Ankur Garde,+918888800002,Jon Mann,+970,001-305-921-2516x2059,,2 mins 59 secs,2021-11-07,02:59 AM,,CUST0097,4.0,12 mins 28 secs,5.0,100 mins 200 secs,1.0,,1.0,8.0,No Answer,Sales,Africa,Dissatisfied,Support,No
98.0,FB001,Nagpur,,+918888800001,Benjamin Vaughn,+420,335.531.7257,Incoming,17 mins 25 secs,2022-03-23,12:29 PM,Same agree most bill usually.,CUST0098,,,0.0,0 mins 0 secs,2.0,0.0,3.0,0.0,,Sales,Australia,Satisfied,Sales,Yes
99.0,FB003,Pune,Shubhangi,+918888800003,Patricia Rosales,,,Outgoing,14 mins 39 secs,,,,CUST0099,5.0,35 mins 230 secs,4.0,4 mins 120 secs,0.0,,9.0,0.0,Completed,Inquiry,,Neutral,Sales,No
,FB003,Pune,Shubhangi,,Bradley Simpson,+223,,Incoming,17 mins 40 secs,,05:27 PM,Agency human be society plant.,CUST0100,5.0,95 mins 80 secs,1.0,8 mins 45 secs,2.0,,2.0,4.0,,Inquiry,Europe,Neutral,Sales,No
,FB008,New York,Steve,,,+678,2817448739,Outgoing,,2021-08-10,04:36 PM,,CUST0101,4.0,52 mins 68 secs,,,1.0,2.0,3.0,2.0,,,North America,Dissatisfied,Support,No
